Name of File,Language,Transcript
0.wav,HI,टी-शर्ट डाल दो कार्ट में
1.wav,HI,फिटनेस बैंड चाहिए था
2.wav,HI,नेलकटर नेलकटर नेलकटर
3.wav,EN,micro oven do you have micro ovens
4.wav,HI,पतंजलि का दंतकांति मिलेगा क्या 
5.wav,HI,चप्पल अच्छा वाला 
6.wav,EN,infinite hard mobile four gb sixty four gb
7.wav,EN,what is the price of iphone xr
8.wav,EN,long skirts for women under two thousand rupees
9.wav,HI,मेन डिओडोरैंट्स कितने में मिलेंगे
10.wav,HI,एक्टिवा फोर जी कितने का है
11.wav,HI,कर्लऑन के मैट्रेस्स दिखाओ
12.wav,EN,trimmer under six thousand with two hour battery life
13.wav,HI,उषा का छत वाला फैन मिलेगा क्या
14.wav,EN,please check lenovo m20 pro battery
15.wav,HI,कॉटन के ड्रेस मैटेरियल्स दिखाओ
16.wav,HI,रियलमी थ्री का बेस्ट ऑफर दिखाओ
17.wav,HI,मुझे सादा चप्पल चाहिए होम यूज़ करना वाला
18.wav,HI,एप्पल वाच सीरीज फोर जीपीएस कितने की आती है
20.wav,EN,wildcraft mask